student_id,student_name
6813000021,ภาณุพงศ์ มณีวงศ์
6813000022,สิริวรรณ ดวงดี
6813000023,ธีรพงษ์ จันทร์เพ็ญ
6813000024,มณีรัตน์ สว่างใจ
6813000025,ณัฐพล รุ่งโรจน์
6813000026,ปิยะดา วงศ์สุข
6813000027,วรพล ศรีวิไล
6813000028,นภาพร ใจดี
6813000029,ศักดิ์ชัย พรมมา
6813000030,วิภาดา แสงสว่าง
6813000031,ธนพล วงศ์ทอง
6813000032,รัตนา ภูมิใจ
6813000033,ชาญชัย สมบูรณ์
6813000034,พัชราภา ดวงจันทร์
6813000035,ทศพล มั่นใจ
6813000036,สุนิสา แก้วใส
6813000037,วีรชัย ศรีสมบัติ
6813000038,กัญญา พงษ์ไพร
6813000039,อภิชาติ วงศ์ประเสริฐ
6813000040,ปาริชาติ สุขสวัสดิ์
